주소,위도,경도
강남구,37.51432257,127.062831
강동구,37.52927481,127.1300269
강북구,37.64246218,127.0220945
강서구,37.5362848,126.8489523
관악구,37.48253849,126.9521652
광진구,37.5311078,127.0730183
구로구,37.49577074,126.8826422
금천구,37.4476688,126.9084522
노원구,37.66125058,127.0602528
도봉구,37.66589755,127.0268754
동대문구,37.57541865,127.0335988
동작구,37.51070581,126.9403933
마포구,37.56288276,126.9092848
서대문구,37.57391001,126.9352308
서초구,37.4900862,127.0195348
성동구,37.55830591,127.0370317
성북구,37.58853362,127.0158513
송파구,37.51829264,127.1013666
양천구,37.51855268,126.8543543
영등포구,37.52584858,126.8967136
용산구,37.54026621,126.9915273
은평구,37.60221616,126.92992
종로구,37.57367751,126.9806109
중구,37.56421503,126.998189
중랑구,37.60587478,127.0993653
